account_id,customer_id,bank_name,account_type,account_tier,statement_timeframe_months,analysis_segment
ACC0118916,IND19000019,Nedbank,savings,standard,3,standard_savings
ACC0118917,IND19000315,Absa,savings,standard,6,standard_savings
ACC0118918,IND19000315,Nedbank,savings,standard,6,standard_savings
ACC0118919,IND19000194,Absa,current,standard,3,standard_current
ACC0118920,IND19000452,TymeBank,easy,basic,6,basic_easy
ACC0118921,IND19000354,First National Bank,savings,basic,6,basic_savings
ACC0118922,IND19000352,Capitec,easy,basic,3,basic_easy
ACC0118923,IND19000145,First National Bank,current,standard,3,standard_current
ACC0118924,IND19000075,Standard Bank,savings,basic,6,basic_savings
ACC0118925,IND19000416,Capitec,easy,basic,3,basic_easy
ACC0118926,IND19000226,Absa,easy,basic,6,basic_easy
ACC0118927,IND19000055,Standard Bank,current,standard,6,standard_current
ACC0118928,IND19000201,Standard Bank,current,standard,6,standard_current
ACC0118929,IND19000356,First National Bank,current,standard,6,standard_current
ACC0118930,IND19000435,First National Bank,easy,basic,6,basic_easy
ACC0118931,IND19000016,Standard Bank,easy,basic,6,basic_easy
ACC0118932,IND19000469,African Bank,easy,basic,6,basic_easy
ACC0118933,IND19000147,Investec,easy,basic,3,basic_easy
ACC0118934,IND19000480,First National Bank,easy,basic,3,basic_easy
ACC0118935,IND19000269,Nedbank,easy,basic,3,basic_easy
ACC0118936,IND19000038,Absa,easy,basic,6,basic_easy
ACC0118937,IND19000069,First National Bank,easy,basic,6,basic_easy
ACC0118938,IND19000063,Standard Bank,easy,basic,3,basic_easy
ACC0118940,IND19000196,First National Bank,savings,standard,3,standard_savings
ACC0118941,IND19000376,Nedbank,cheque,standard,3,standard_cheque
ACC0118942,IND19000037,Standard Bank,easy,basic,6,basic_easy
ACC0118943,IND19000257,Capitec,savings,standard,3,standard_savings
