reconciliation_run_id,account_id,customer_id,ledger_transaction_id,statement_transaction_id,ledger_amount,statement_amount,ledger_date,statement_date,match_status,exception_category,root_cause_tag,confidence_score,source_system_lag_days,expected_settlement_date
RECON-201912-ACC0118916-3M,ACC0118916,IND19000019,,BST-ACC0118916-000001,,-81.45,,2019-12-25 08:38:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.899,,
RECON-201912-ACC0118916-3M,ACC0118916,IND19000019,,BST-ACC0118916-000002,,-29.3,,2019-12-25 08:38:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.944,,
RECON-201912-ACC0118916-3M,ACC0118916,IND19000019,,BST-ACC0118916-000003,,-8.43,,2020-01-25 10:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.938,,
RECON-201912-ACC0118916-3M,ACC0118916,IND19000019,,BST-ACC0118916-000004,,-96.69,,2020-01-25 10:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.959,,
RECON-201912-ACC0118916-3M,ACC0118916,IND19000019,,BST-ACC0118916-000005,,-9.8,,2020-02-25 12:18:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.886,,
RECON-201912-ACC0118916-3M,ACC0118916,IND19000019,,BST-ACC0118916-000006,,4.48,,2020-02-25 12:18:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.905,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000001,,-33.58,,2019-12-25 17:07:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.905,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000002,,-28.36,,2019-12-25 17:07:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.889,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000003,,-71.2,,2020-01-25 11:02:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.946,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000004,,-55.8,,2020-02-25 09:48:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.923,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000005,,3.1,,2020-02-25 09:48:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.954,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000006,,-150.06,,2020-03-25 14:17:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.889,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000007,,-48.9,,2020-03-25 14:17:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.961,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000008,,8.46,,2020-03-25 14:17:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.92,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000009,,2.01,,2020-04-25 14:31:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.935,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000010,,-23.75,,2020-04-25 14:31:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.944,,
RECON-201912-ACC0118917-6M,ACC0118917,IND19000315,,BST-ACC0118917-000011,,-51.44,,2020-05-25 07:05:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.881,,
RECON-201912-ACC0118918-6M,ACC0118918,IND19000315,,BST-ACC0118918-000001,,-115.75,,2019-12-25 11:51:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.883,,
RECON-201912-ACC0118918-6M,ACC0118918,IND19000315,,BST-ACC0118918-000002,,-48.73,,2019-12-25 11:51:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.956,,
