transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system,has_data_error,data_error_types
TXNL201900000001,ACC0001282,IND19007129,LN2019010000002,,5,2019-06-14,04:32:58,1592.74,Debit,Completed,,Loan Payment - LN2019010000002,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000002,ACC0000071,IND19001466,LN2019010000009,,5,2019-06-30,02:45:52,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000003,ACC0001490,IND19011784,LN2019010000010,,5,2019-06-23,02:24:32,2454.22,Debit,Completed,,Loan Payment - LN2019010000010,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000004,ACC0000278,IND19005139,LN2019010000015,LDO20190000001,5,2019-06-29,03:29:28,2472.86,Debit,Completed,,Loan Payment - LN2019010000015,False,,0.86,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000005,ACC0000597,IND19000749,LN2019010000017,LDO20190000001,5,2019-06-22,02:26:23,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,1.68,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000006,ACC0000731,IND19012784,LN2019010000018,LDO20190000001,5,2019-06-30,03:32:23,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,0.37,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000007,ACC0000999,IND19000704,LN2019010000021,LDO20190000001,5,2019-06-30,03:47:40,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,1.07,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000008,ACC0000362,IND19010400,LN2019010000034,LDO20190000001,5,2019-06-20,04:35:58,1585.16,Debit,Completed,,Loan Payment - LN2019010000034,False,,0.11,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000009,ACC0000761,IND19003341,LN2019010000037,LDO20190000001,4,2019-06-10,04:08:13,1929.69,Debit,Completed,,Loan Payment - LN2019010000037,False,,0.14,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000010,ACC0000661,IND19013332,LN2019010000040,,5,2019-06-25,01:09:44,3565.48,Debit,Completed,,Loan Payment - LN2019010000040,False,,2.5,,Online,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000011,ACC0000361,IND19010400,LN2019010000048,,5,2019-06-30,01:43:59,990.52,Debit,Completed,,Loan Payment - LN2019010000048,False,,2.5,,Mobile,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL201900000012,ACC0000305,IND19009608,LN2019010000064,,5,2019-06-15,03:28:40,2594.15,Debit,Completed,,Loan Payment - LN2019010000064,False,,2.5,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
