response_id,campaign_id,customer_id,account_id,response_date,response_type,conversion_value_zar,channel_used,notes
RESP-202103-0000001,CAMP-2021-002,IND2103009435,ACC0024451,2021-03-12,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202103-0000002,CAMP-2021-002,IND2103003105,ACC0024924,2021-03-20,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202103-0000003,CAMP-2021-002,IND2103003758,ACC0024234,2021-03-10,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202103-0000004,CAMP-2021-002,IND2103007903,ACC0024986,2021-03-06,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202103-0000005,CAMP-2021-002,IND2103001759,ACC0024556,2021-03-12,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202103-0000006,CAMP-2021-002,IND2103001464,ACC0024237,2021-03-04,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202103-0000007,CAMP-2021-003,IND2103003452,ACC0024853,2021-03-31,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000008,CAMP-2021-003,IND2103009291,ACC0024761,2021-03-18,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000009,CAMP-2021-003,IND2103001777,ACC0024816,2021-03-21,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000010,CAMP-2021-003,IND2103009922,ACC0024517,2021-03-17,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000011,CAMP-2021-003,IND2103003167,ACC0024736,2021-03-21,clicked,,sms,Customer clicked through to campaign landing page or product information.
RESP-202103-0000012,CAMP-2021-003,IND2103002531,ACC0024620,2021-03-20,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000013,CAMP-2021-003,IND2103006653,ACC0024760,2021-03-26,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000014,CAMP-2021-003,IND2103008401,ACC0024106,2021-03-18,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000015,CAMP-2021-003,IND2103000527,ACC0025102,2021-03-29,converted,4539.0,app_push,Customer accepted offer for home_loan through app_push.
RESP-202103-0000016,CAMP-2021-003,IND2103008122,ACC0024719,2021-03-29,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000017,CAMP-2021-003,IND2103009878,ACC0024786,2021-03-24,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000018,CAMP-2021-003,COM2103000285,ACC0025126,2021-03-18,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000019,CAMP-2021-003,IND2103008986,ACC0024128,2021-03-27,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000020,CAMP-2021-003,IND2103011041,ACC0024920,2021-03-19,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000021,CAMP-2021-003,IND2103005846,ACC0024141,2021-03-19,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000022,CAMP-2021-003,IND2103009783,ACC0024927,2021-03-21,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000023,CAMP-2021-003,IND2103004254,ACC0024566,2021-03-21,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000024,CAMP-2021-003,IND2103002575,ACC0024944,2021-03-16,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000025,CAMP-2021-003,IND2103003199,,2021-03-26,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000026,CAMP-2021-003,IND2103002548,ACC0025079,2021-03-19,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000027,CAMP-2021-003,IND2103003325,ACC0024308,2021-03-24,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000028,CAMP-2021-003,IND2103004466,ACC0024681,2021-03-23,complained,,sms,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202103-0000029,CAMP-2021-003,IND2103002602,ACC0024715,2021-03-18,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000030,CAMP-2021-003,IND2103001480,ACC0024296,2021-03-30,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000031,CAMP-2021-003,IND2103000432,ACC0024947,2021-03-18,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000032,CAMP-2021-003,IND2103004450,ACC0025063,2021-03-26,converted,10455.0,app_push,Customer accepted offer for home_loan through app_push.
RESP-202103-0000033,CAMP-2021-003,IND2103007658,ACC0024265,2021-03-27,opened,,app_push,Customer opened or viewed the campaign message.
RESP-202103-0000034,CAMP-2021-003,IND2103008880,ACC0024849,2021-03-26,opted_out,,sms,Customer opted out of marketing messages for this channel.
RESP-202103-0000035,CAMP-2021-003,IND2103005025,ACC0024416,2021-03-21,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000036,CAMP-2021-003,IND2103003058,ACC0024274,2021-03-29,clicked,,app_push,Customer clicked through to campaign landing page or product information.
RESP-202103-0000037,CAMP-2021-003,IND2103001580,ACC0024854,2021-03-16,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000038,CAMP-2021-003,IND2103000517,ACC0024245,2021-03-26,opened,,app_push,Customer opened or viewed the campaign message.
RESP-202103-0000039,CAMP-2021-003,IND2103007999,ACC0024559,2021-03-17,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000040,CAMP-2021-003,IND2103003007,ACC0024077,2021-03-29,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000041,CAMP-2021-003,IND2103004832,ACC0024420,2021-03-22,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000042,CAMP-2021-003,IND2103009552,ACC0024861,2021-03-28,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000043,CAMP-2021-003,IND2103001374,ACC0024538,2021-03-29,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000044,CAMP-2021-003,IND2103009690,,2021-03-23,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000045,CAMP-2021-003,IND2103001151,ACC0024936,2021-03-25,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000046,CAMP-2021-003,IND2103006719,ACC0025057,2021-03-29,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000047,CAMP-2021-003,IND2103008180,,2021-03-29,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000048,CAMP-2021-003,IND2103009319,,2021-03-26,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000049,CAMP-2021-003,IND2103009167,ACC0025076,2021-03-29,converted,7623.0,sms,Customer accepted offer for home_loan through sms.
RESP-202103-0000050,CAMP-2021-003,IND2103000747,ACC0024216,2021-03-20,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000051,CAMP-2021-003,IND2103006700,ACC0025096,2021-03-19,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000052,CAMP-2021-003,IND2103005662,,2021-03-20,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000053,CAMP-2021-003,IND2103002802,ACC0025028,2021-03-19,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000054,CAMP-2021-003,IND2103007539,ACC0024117,2021-03-17,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000055,CAMP-2021-003,IND2103006493,ACC0024495,2021-03-20,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000056,CAMP-2021-003,IND2103002175,ACC0024896,2021-03-16,opened,,app_push,Customer opened or viewed the campaign message.
RESP-202103-0000057,CAMP-2021-003,IND2103011012,ACC0024868,2021-03-31,opened,,app_push,Customer opened or viewed the campaign message.
RESP-202103-0000058,CAMP-2021-003,IND2103008153,ACC0025066,2021-03-31,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000059,CAMP-2021-003,IND2103008105,ACC0024597,2021-03-22,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000060,CAMP-2021-003,IND2103003070,ACC0024574,2021-03-29,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000061,CAMP-2021-003,IND2103005009,ACC0024558,2021-03-23,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000062,CAMP-2021-003,IND2103010616,ACC0024177,2021-03-28,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000063,CAMP-2021-003,IND2103008776,ACC0024276,2021-03-20,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000064,CAMP-2021-003,IND2103008447,ACC0024734,2021-03-30,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000065,CAMP-2021-003,IND2103008972,,2021-03-18,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000066,CAMP-2021-003,IND2103006642,ACC0024392,2021-03-28,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000067,CAMP-2021-003,IND2103001218,ACC0024135,2021-03-26,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000068,CAMP-2021-003,IND2103004100,ACC0024867,2021-03-19,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000069,CAMP-2021-003,IND2103000076,ACC0024447,2021-03-28,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000070,CAMP-2021-003,IND2103006878,ACC0024223,2021-03-23,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000071,CAMP-2021-003,IND2103005410,ACC0024480,2021-03-30,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000072,CAMP-2021-003,IND2103005959,ACC0024931,2021-03-18,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000073,CAMP-2021-003,IND2103005324,ACC0024798,2021-03-24,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000074,CAMP-2021-003,IND2103010223,ACC0024304,2021-03-26,opened,,app_push,Customer opened or viewed the campaign message.
RESP-202103-0000075,CAMP-2021-003,IND2103007079,ACC0024097,2021-03-26,opened,,sms,Customer opened or viewed the campaign message.
RESP-202103-0000076,CAMP-2021-003,IND2103008057,ACC0024151,2021-03-21,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000077,CAMP-2021-003,IND2103000238,ACC0024386,2021-03-26,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000078,CAMP-2021-003,IND2103004748,ACC0024512,2021-03-22,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000079,CAMP-2021-003,IND2103005005,ACC0024605,2021-03-26,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000080,CAMP-2021-003,IND2103002267,ACC0024192,2021-03-29,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000081,CAMP-2021-003,IND2103004975,,2021-03-17,opened,,app_push,Customer opened or viewed the campaign message.
RESP-202103-0000082,CAMP-2021-003,IND2103009114,ACC0024929,2021-03-19,opened,,app_push,Customer opened or viewed the campaign message.
RESP-202103-0000083,CAMP-2021-003,IND2103008339,ACC0024596,2021-03-31,converted,6674.0,app_push,Customer accepted offer for home_loan through app_push.
RESP-202103-0000084,CAMP-2021-003,IND2103008054,ACC0024894,2021-03-29,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000085,CAMP-2021-003,IND2103010074,,2021-03-19,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000086,CAMP-2021-003,IND2103009594,ACC0024112,2021-03-19,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000087,CAMP-2021-003,IND2103000139,ACC0024554,2021-03-23,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000088,CAMP-2021-003,IND2103010568,ACC0024394,2021-03-29,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202103-0000089,CAMP-2021-003,IND2103001530,ACC0024272,2021-03-30,converted,23205.0,sms,Customer accepted offer for home_loan through sms.
RESP-202103-0000090,CAMP-2021-003,IND2103007681,ACC0025037,2021-03-20,complained,,app_push,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202103-0000091,CAMP-2021-003,IND2103000852,ACC0024875,2021-03-27,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202103-0000092,CAMP-2021-003,IND2103001698,ACC0024690,2021-03-31,opened,,app_push,Customer opened or viewed the campaign message.
RESP-202103-0000093,CAMP-2021-003,IND2103001562,,2021-03-24,converted,19714.0,sms,Customer accepted offer for home_loan through sms.
